sponsor_ein,plan_number,plan_year,sponsor,plan_name,sponsor_plan_key,issuer_name,investment_description,asset_type,morningstar_ticker,par_value,cost,current_value,units_or_shares,page_number,row_id,confidence,pdf_stem
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Fidelity,Fidelity Cash Reserves,Mutual Fund,FCNTX,,,"14,848",,34,1,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Fidelity,Fidelity Managed Income Portfolio II Class 3,Mutual Fund,FCNTX,,,"235,783,162",,34,2,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,SelfDirected,Brokerage Account,Self-Directed Brokerage Account,,,,"79,297,324",,34,6,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,SelfDirected,Brokerage Account,Self-Directed Brokerage Account,,,,"246,808",,34,7,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,SelfDirected,Brokerage Account,Self-Directed Brokerage Account,,,,"5,699,189",,34,8,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,SelfDirected,Brokerage Account,Self-Directed Brokerage Account,,,,"345,701",,34,9,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,SelfDirected,Brokerage Account,Self-Directed Brokerage Account,,,,"4,996,872",,34,10,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,SelfDirected,Brokerage Account,Self-Directed Brokerage Account,,,,"622,275",,34,11,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Total Bond Market Fund Institutional Plus Shares,Corporate Bond,,,,"130,319,040",,34,20,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Target Retirement Income Fund Investor Shares,Target Date Fund,VTSAX,,,"66,461,818",,34,22,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Target Retirement 2020 Fund Investor Shares,Target Date Fund,VTSAX,,,"73,102,747",,34,23,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Target Retirement 2025 Fund Investor Shares,Target Date Fund,VTSAX,,,"234,662,704",,34,24,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Target Retirement 2030 Fund Investor Shares,Target Date Fund,VTSAX,,,"520,508,086",,34,25,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Target Retirement 2035 Fund Investor Shares,Target Date Fund,VTSAX,,,"568,590,710",,34,26,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Target Retirement 2040 Fund Investor Shares,Target Date Fund,VTSAX,,,"567,285,463",,34,27,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Target Retirement 2045 Fund Investor Shares,Target Date Fund,VTSAX,,,"573,424,466",,34,28,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Target Retirement 2050 Fund Investor Shares,Target Date Fund,VTSAX,,,"440,847,061",,34,29,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Target Retirement 2055 Fund Investor Shares,Target Date Fund,VTSAX,,,"303,477,991",,34,30,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Target Retirement 2060 Fund Investor Shares,Target Date Fund,VTSAX,,,"166,037,469",,34,31,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Target Retirement 2065 Fund Investor Shares,Target Date Fund,VTSAX,,,"51,080,822",,34,32,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Progressive Corporation,The Progressive Corporation,Other,,,,"3,966,515,404",,34,36,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,SelfDirected,Brokerage Account,Self-Directed Brokerage Account,,,,"201,452,409",,41,2,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,SelfDirected,Brokerage Account,Self-Directed Brokerage Account,,,,"128,159,304",,41,3,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,SelfDirected,Brokerage Account,Self-Directed Brokerage Account,,,,"749,765",,41,4,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Pacific Investment Management Company,PIMCO Total Return Fund Institutional Class,Mutual Fund,,,,"73,081,951",,41,11,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Value Index Fund Institutional Shares,Mutual Fund,VTSAX,,,"229,711,391",,41,12,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Total International Stock Index Fund Institutional Shares,Common Stock,,,,"87,419,265",,41,13,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Mid-Cap Index Fund Institutional Plus Shares,Mutual Fund,VTSAX,,,"391,154,092",,41,14,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Growth Index Fund Institutional Shares,Mutual Fund,VTSAX,,,"641,126,099",,41,15,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Federal Money Market Fund,Money Market Fund,,,,"135,133,732",,41,16,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Small Cap Index Fund Institutional Plus Shares,Mutual Fund,VTSAX,,,"308,622,020",,41,17,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Institutional Index Fund Institutional Plus Shares,Mutual Fund,VTSAX,,,"975,278,430",,41,19,,20250520131349NAL0001242561001
34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,The Vanguard Group,Vanguard Target Retirement 2070 Fund Investor Shares,Target Date Fund,VTSAX,,,"5,884,445",,41,31,,20250520131349NAL0001242561001
,001,2024,,20220708124640Nal0018324257001,,Corporation IBM Common Stock 7111756 shares,"Corporation IBM Common Stock 7,111,756 shares",Common Stock,,,,950587393,,67,1,,20220708124640NAL0018324257001
,001,2024,,20220708124640Nal0018324257001,,Fund,Fund,Mutual Fund,,,,1095827,,67,2,,20220708124640NAL0018324257001
,001,2024,,20220708124640Nal0018324257001,,Advisors and Gallagher Fiduciary Kyndryl Common Stock,Advisors and Gallagher Fiduciary Kyndryl Common Stock,Common Stock,,,,1296683,,67,3,,20220708124640NAL0018324257001
,001,2024,,20220708124640Nal0018324257001,,Advisors LLC shares,"Advisors, LLC shares",Other,,,,23429981,,67,4,,20220708124640NAL0018324257001
,001,2024,,20220708124640Nal0018324257001,,refer to Exhibit A investments,(refer to Exhibit A - investments),Other,,,,9233999135,,67,5,,20220708124640NAL0018324257001
,001,2024,,20220708124640Nal0018324257001,,1404915 shares,"1,404,915 shares",Other,,,,145703653,,67,6,,20220708124640NAL0018324257001
,001,2024,,20220708124640Nal0018324257001,,Fund Large Company Index,Fund Large Company Index,Mutual Fund,,,,9031816021,,67,7,,20220708124640NAL0018324257001
,001,2024,,20220708124640Nal0018324257001,,Index Trust Large Cap Growth Index,Index Trust Large Cap Growth Index,Other,,,,2656616995,,67,8,,20220708124640NAL0018324257001
,001,2024,,20220708124640Nal0018324257001,,Trust Large Cap Value Index,Trust Large Cap Value Index,Other,,,,1126674412,,67,9,,20220708124640NAL0018324257001
,001,2024,,20220708124640Nal0018324257001,,III LTD Balanced Fund,"III, LTD. Balanced Fund",Mutual Fund,,,,988017463,,67,10,,20220708124640NAL0018324257001
,001,2024,,20220708124640Nal0018324257001,,Index Trust Small Cap Growth Index,Index Trust Small Cap Growth Index,Other,,,,864672110,,67,11,,20220708124640NAL0018324257001
,001,2024,,20220708124640Nal0018324257001,,Trust Small Cap Value Index,Trust Small Cap Value Index,Other,,,,724528970,,67,12,,20220708124640NAL0018324257001
,001,2024,,20220708124640Nal0018324257001,,Liquidity Fund Balanced Fund,Liquidity Fund Balanced Fund,Mutual Fund,,,,487387596,,67,13,,20220708124640NAL0018324257001
,001,2024,,20220708124640Nal0018324257001,,Trust European Stock Index,Trust European Stock Index,Common Stock,,,,446858673,,67,14,,20220708124640NAL0018324257001
,001,2024,,20220708124640Nal0018324257001,,PanAgora Balanced Fund,PanAgora Balanced Fund,Mutual Fund,,,,329103069,,67,15,,20220708124640NAL0018324257001
,001,2024,,20220708124640Nal0018324257001,,Vanguard,Pacific Stock Index Trust Pacific Stock Index,Common Stock,,,,326975257,,67,16,,20220708124640NAL0018324257001
,001,2024,,20220708124640Nal0018324257001,,AMCAP FUND,"933,166",Mutual Fund,,MUTUAL FUNDS,,"43,586,441",,70,4,,20220708124640NAL0018324257001
,001,2024,,20220708124640Nal0018324257001,,AMERICAN BALANCED FUND,"1,628,268",Mutual Fund,,MUTUAL FUNDS,,"54,918,822",,70,5,,20220708124640NAL0018324257001
