issuer_name,investment_description,asset_type,par_value,cost,current_value,units_or_shares,page_number,row_id,pdf_name,pdf_stem,fund_name
Duke Energy Common Stock Fund,"41,513,212 shares",Mutual Fund,,**,1070296,,35,2,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,Duke Energy Common Stock Fund
US Equity Small/Midcap Blend Fund,"14,728,193 shares",Mutual Fund,,**,572190,,35,4,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,US Equity Small/Midcap Blend Fund
Fixed Income Index Fund,"8,905,269 shares",Mutual Fund,,**,95465,,35,5,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,Fixed Income Index Fund
US Equity Small/Midcap Index Fund,"14,887,655 shares",Mutual Fund,,**,182374,,35,6,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,US Equity Small/Midcap Index Fund
Non-US Equity Index Fund,"43,968,608 shares",Mutual Fund,,**,511355,,35,7,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,Non-US Equity Index Fund
US Equity All Cap Blend Fund,"17,236,330 shares",Mutual Fund,,**,928349,,35,8,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,US Equity All Cap Blend Fund
Non-US Equity Blend Fund,"33,593,514 shares",Mutual Fund,,**,527082,,35,9,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,Non-US Equity Blend Fund
Fixed Income Blend Fund,"32,568,247 shares",Mutual Fund,,**,520115,,35,10,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,Fixed Income Blend Fund
Target Retirement Date Fund 2025,"8,184,996 shares",Mutual Fund,,**,208390,,35,11,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,Target Retirement Date Fund 2025
Target Retirement Date Fund 2030,"11,028,557 shares",Mutual Fund,,**,297550,,35,12,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,Target Retirement Date Fund 2030
Target Retirement Date Fund 2035,"9,378,445 shares",Mutual Fund,,**,276101,,35,13,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,Target Retirement Date Fund 2035
Target Retirement Date Fund 2040,"9,592,199 shares",Mutual Fund,,**,284792,,35,14,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,Target Retirement Date Fund 2040
Target Retirement Date Fund 2045,"10,372,917 shares",Mutual Fund,,**,313262,,35,15,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,Target Retirement Date Fund 2045
Target Retirement Date Fund 2050,"9,155,853 shares",Mutual Fund,,**,283282,,35,16,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,Target Retirement Date Fund 2050
Target Retirement Date Fund 2055,"7,965,114 shares",Mutual Fund,,**,246361,,35,17,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,Target Retirement Date Fund 2055
Target Retirement Date Fund 2060,"9,628,654 shares",Mutual Fund,,**,177071,,35,18,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,Target Retirement Date Fund 2060
Target Retirement Date Fund Post Retirement,"8,429,610 shares",Mutual Fund,,**,152070,,35,19,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,Target Retirement Date Fund Post Retirement
US Equity S&P 500 Index Fund,"51,057,793 shares",Commingled Fund,,**,2884255,,35,22,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,US Equity S&P 500 Index Fund
Diversified Real Asset Fund,"894,605 shares",Commingled Fund,,**,12864,,35,23,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,Diversified Real Asset Fund
Global Real Estate Investment Trust Fund,"1,137,780 shares",Commingled Fund,,**,23450,,35,24,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,Global Real Estate Investment Trust Fund
Fidelity BrokerageLink,"1,073,317,961 shares",Self-Directed Brokerage Account,,**,1073318,,35,27,20251010135251NAL0018754754001.pdf,20251010135251NAL0018754754001,"1,073,317,961 shares"
The Lincoln National Life Insurance Company,AB VPS SUST GL THEMATIC PORT,Mutual Fund,,A,698,,96,1,Cleveland Plan.pdf,Cleveland Plan,AB VPS SUST GL THEMATIC PORT
The Lincoln National Life Insurance Company,AMERICAN FUNDS GLOBAL GROWTH,Mutual Fund,,A,70735,,96,2,Cleveland Plan.pdf,Cleveland Plan,AMERICAN FUNDS GLOBAL GROWTH
The Lincoln National Life Insurance Company,AMERICAN FUNDS GROWTH FUND,Mutual Fund,,A,181494,,96,3,Cleveland Plan.pdf,Cleveland Plan,AMERICAN FUNDS GROWTH FUND
The Lincoln National Life Insurance Company,AMERICAN FUNDS GROWTH-INCOME,Mutual Fund,,A,41674,,96,4,Cleveland Plan.pdf,Cleveland Plan,AMERICAN FUNDS GROWTH-INCOME
The Lincoln National Life Insurance Company,AMERICAN FUNDS INTERNATIONAL,Mutual Fund,,A,6419,,96,5,Cleveland Plan.pdf,Cleveland Plan,AMERICAN FUNDS INTERNATIONAL
The Lincoln National Life Insurance Company,FIDELITY ASSET MANAGER,Mutual Fund,,A,342420,,96,6,Cleveland Plan.pdf,Cleveland Plan,FIDELITY ASSET MANAGER
The Lincoln National Life Insurance Company,FIDELITY CONTRAFUND PORTFOLIO,Mutual Fund,,A,182317,,96,7,Cleveland Plan.pdf,Cleveland Plan,FIDELITY CONTRAFUND PORTFOLIO
The Lincoln National Life Insurance Company,FIDELITY GROWTH PORTFOLIO,Mutual Fund,,A,2148757,,96,8,Cleveland Plan.pdf,Cleveland Plan,FIDELITY GROWTH PORTFOLIO
The Lincoln National Life Insurance Company,FIDELITYVIP FREEDOM TARGET2030,Mutual Fund,,A,498,,96,9,Cleveland Plan.pdf,Cleveland Plan,FIDELITYVIP FREEDOM TARGET2030
The Lincoln National Life Insurance Company,FIDELITYVIP FREEDOM TARGET2035,Mutual Fund,,A,520,,96,10,Cleveland Plan.pdf,Cleveland Plan,FIDELITYVIP FREEDOM TARGET2035
The Lincoln National Life Insurance Company,JANUS HENDERSON GLB RESEARCH,Mutual Fund,,A,279324,,96,11,Cleveland Plan.pdf,Cleveland Plan,JANUS HENDERSON GLB RESEARCH
