sponsor_ein,plan_number,plan_year,sponsor,plan_name,sponsor_plan_key,issuer_name,investment_description,asset_type,morningstar_ticker,par_value,cost,current_value,units_or_shares,page_number,row_id,confidence,pdf_stem
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Participant Contributions,Participant Contributions,Other,,,,Contributions,Total Fully Corrected,42,7,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Transferred,Transferred,Other,,Contributions,Fiduciary Correction,Pending Correction,Transaction,42,10,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Year,Late to the Plan,Other,,Not Corrected,"Program (""VFCP"")",in VFCP,Exemption 2002-51,42,11,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,2023,"$ 25,801",Other,,$ -,"$ 25,801",$ -,$ -,42,12,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,TIAA,Non-Benefi t Res pons i ve,Other,,,**,"$ 1,128,472,997",,43,2,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,TIAA,Benefi t Res pons i ve,Other,,,**,"1,354,610,480",,43,3,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,TIAA,Pool ed Sepa ra te Account,Common/Collective Trust Fund,,,**,"137,654,380",,43,6,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"71,561,834",,43,9,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"115,647,590",,43,10,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"118,508,088",,43,11,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"33,168,444",,43,12,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"205,501,019",,43,13,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"39,376,437",,43,14,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"47,861,945",,43,15,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"79,599,538",,43,16,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"16,268,191",,43,17,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"758,780,437",,43,18,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Vanguard,Regi s tered Inves tment Compa ny,Mutual Fund,VTSAX,,**,"794,313,658",,43,19,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Vanguard,Regi s tered Inves tment Compa ny,Mutual Fund,VTSAX,,**,"354,044,367",,43,20,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Vanguard,Regi s tered Inves tment Compa ny,Mutual Fund,VTSAX,,**,"68,161,032",,43,21,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Vanguard,Regi s tered Inves tment Compa ny,Mutual Fund,VTSAX,,**,"47,115,623",,43,22,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Vanguard,Regi s tered Inves tment Compa ny,Mutual Fund,VTSAX,,**,"434,186,789",,43,23,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Vanguard,Regi s tered Inves tment Compa ny,Mutual Fund,VTSAX,,**,"2,151,560,996",,43,24,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Vanguard,Regi s tered Inves tment Compa ny,Mutual Fund,VTSAX,,**,"69,278,816",,43,25,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Registered Investment Companies,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"5,404,934,804",,43,26,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,TIAACREF,Sel f-Di rected Accounts,Self-Directed Brokerage Account,,,**,"294,626,228",,43,28,,20251009122116NAL0011444720001
