sponsor_ein,plan_number,plan_year,sponsor,plan_name,sponsor_plan_key,issuer_name,investment_description,asset_type,morningstar_ticker,par_value,cost,current_value,units_or_shares,page_number,row_id,confidence,pdf_stem
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,,Participant Contributions,Check Here if,,,,Contributions,Total Fully Corrected,42,7,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,,Transferred,Repayments are,,Contributions,Fiduciary Correction,Pending Correction,Transaction,42,10,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Year,Late to the Plan,Included,,Not Corrected,"Program (""VFCP"")",in VFCP,Exemption 2002-51,42,11,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,2023,"$ 25,801",,,$ -,"$ 25,801",$ -,$ -,42,12,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,TIAA Tra di ti ona l Annui ty Contra ct,Non-Benefi t Res pons i ve,Insurance General Account,,,**,"$ 1,128,472,997",,43,2,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,TIAA Tra di ti ona l Annui ty Contra ct,Benefi t Res pons i ve,Insurance General Account,,,**,"1,354,610,480",,43,3,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,TIAA Rea l Es ta te,Pool ed Sepa ra te Account,Commingled Fund,,,**,"137,654,380",,43,6,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF Core Bond R3,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"71,561,834",,43,9,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF Equi ty Index R3,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"115,647,590",,43,10,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF Gl oba l Equi ti es R3,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"118,508,088",,43,11,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF Gl oba l Equi ti es R4,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"33,168,444",,43,12,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF Growth R3,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"205,501,019",,43,13,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF Infl a ti onLi nked Bond R3,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"39,376,437",,43,14,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF Money Ma rket R3,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"47,861,945",,43,15,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF Soci a l Choi ce R3,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"79,599,538",,43,16,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF Soci a l Choi ce R4,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"16,268,191",,43,17,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,CREF Stock R3,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"758,780,437",,43,18,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,VAN Devel oped Mkts Idx Ins Pl us,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"794,313,658",,43,19,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,VAN Emergi ng Mkts Idx Ins Pl us,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"354,044,367",,43,20,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Va ngua rd Federa l Money Mkt Inv,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"68,161,032",,43,21,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Va ngua rd Infl Protect Sec Ins t,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"47,115,623",,43,22,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Va ngua rd Rea l Es ta te Idx Ins t,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"434,186,789",,43,23,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Va ngua rd Tota l St Mk Ix In Pl,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"2,151,560,996",,43,24,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Va ngua rd Ttl Bd Mkt Idx Ins t,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"69,278,816",,43,25,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Registered Investment Companies,Regi s tered Inves tment Compa ny,Mutual Fund,,,**,"5,404,934,804",,43,26,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,TIAACREF Sel f Di rected Accounts,Sel f-Di rected Accounts,,,,**,"294,626,228",,43,28,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Participant Loan Fund,Participant Loan Fund,Participant Loan,,,,,,43,30,,20251009122116NAL0011444720001
06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,Pa rti ci pa nt Loa n Fund,Pa rti ci pa nt Loa n Fund,,,,**,"22,863,260",,43,31,,20251009122116NAL0011444720001
11-3418133,3,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,BNY Mellon,50% Artisan / 50%BNY Mellon International Option,Mutual Fund,,,,225122092,,93,1,,20251015161711NAL0005099105001
11-3418133,3,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,50 Champlain 50 Diamond Hill Small Cap Option,50% Champlain / 50% Diamond Hill Small Cap Option,Mutual Fund,,,,232897672,,93,2,,20251015161711NAL0005099105001
11-3418133,3,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,50 Diamond Hill 50 Dodge Cox Lg Value,50% Diamond Hill / 50% Dodge & Cox Lg Value,Mutual Fund,,,,523336946,,93,3,,20251015161711NAL0005099105001
11-3418133,3,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1B Threedigit Plan,,50 Dodge Cox 50 Allspring Core Bond Option,50% Dodge & Cox /50% Allspring Core Bond Option,Mutual Fund,,,,74532021,,93,4,,20251015161711NAL0005099105001
