issuer_name,investment_description,asset_type,par_value,cost,current_value,units_or_shares,page_number,row_id,pdf_name,pdf_stem,sponsor_ein,plan_number,plan_year,sponsor,plan_name,maturity
,,,,,,,35,3,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
,,,,,,,35,8,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
,,,,,,,41,3,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
,,,,,,,41,5,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
,,,,,,,41,6,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
,,,,,"Enter the EIN(s) of payor(s) who paid benefits on behalf of the plan to participants or beneficiaries during the year (if more than two, enter EINs of the",,43,4,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
,,,,,"Number of participants (living or deceased) whose benefits were distributed in a single sum, during the plan",,43,8,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
,,,,,X Yes X No X N/A,,43,13,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
,,,,,If a waiver of the minimum funding standard for a prior year is being amortized in this,,43,15,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
AMCAP FUND,"933,166",,MUTUAL FUNDS,,"43,586,441",,70,4,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
AMERICAN BALANCED FUND,"1,628,268",,MUTUAL FUNDS,,"54,918,822",,70,5,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
FUNDAMENTAL INV,"848,180",,MUTUAL FUNDS,,"65,095,348",,70,7,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
AMERICAN MUTUAL FUND,"802,575",Mutual Fund,MUTUAL FUNDS,,"43,059,298",,70,8,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
CAPITAL WORLD BOND FUND,"486,054",,MUTUAL FUNDS,,"9,777,473",,70,9,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
INCOM,"470,780",,MUTUAL FUNDS,,"30,185,583",,70,11,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
PORTFOLIO,"865,372",,MUTUAL FUNDS,,"27,594,953",,70,13,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
POR,"828,432",,MUTUAL FUNDS,,"26,018,937",,70,15,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
SECURIT,"1,465,161",,MUTUAL FUNDS,,"19,874,493",,70,17,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
COMPAN,"712,881",,MUTUAL FUNDS,,"15,650,643",,70,19,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
PORTFO,"625,935",,MUTUAL FUNDS,,"12,112,897",,70,21,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
EQUIT,"542,649",,MUTUAL FUNDS,,"7,601,248",,70,23,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
PO,"564,212",,MUTUAL FUNDS,,"15,618,855",,70,25,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
PORTFOLIO,"1,439,836",,MUTUAL FUNDS,,"52,943,880",,70,27,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
DFA US SMALL CAP PORTFOLIO,"824,506",,MUTUAL FUNDS,,"39,195,255",,70,28,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
PORTFOLI,"1,996,015",,MUTUAL FUNDS,,"60,816,859",,70,30,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
PORTFOLIO,"569,540",,MUTUAL FUNDS,,"14,248,381",,70,32,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
DODGE + COX BALANCED FUND,"419,414",,MUTUAL FUNDS,,"46,190,961",,70,33,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
FUND,"1,003,470",,MUTUAL FUNDS,,"11,661,480",,70,35,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
FUND,"1,299,665",,MUTUAL FUNDS,,"18,891,414",,70,37,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
DODGE + COX INCOME FUND,"6,143,362",,MUTUAL FUNDS,,"86,808,616",,70,38,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
STOC,"1,125,493",,MUTUAL FUNDS,,"53,646,006",,70,40,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
DODGE + COX STOCK FUND,"738,285",,MUTUAL FUNDS,,"182,269,005",,70,41,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
EUROPACIFIC GROWTH FUND,"819,742",,MUTUAL FUNDS,,"53,592,694",,70,42,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
RATE,"2,502,742",,MUTUAL FUNDS,,"23,886,221",,70,44,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
INC,"3,617,182",,MUTUAL FUNDS,,"46,266,509",,70,46,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
FUND,"3,100,525",,MUTUAL FUNDS,,"575,044,997",,70,48,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
FIDELITY CANADA FUND,"260,959",,MUTUAL FUNDS,,"17,002,372",,70,49,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
FUND,"10,020,859",,MUTUAL FUNDS,,"113,172,808",,70,51,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
FIDELITY CHINA REGION FUND,"1,705,617",,MUTUAL FUNDS,,"74,566,951",,70,52,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
FIDELITY CONTRAFUND,"19,357,716",,MUTUAL FUNDS,,"366,946,891",,70,53,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
1+1 AG,COMMON STOCK,Common Stock,,,"204,044",,75,4,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
29METALS LTD,COMMON STOCK,Common Stock,,,"99,486",,75,6,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
360 DIGITECH INC,ADR USD.00001,,,,"334,778",,75,7,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
A,COMMON STOCK CNY1.0,,,,"144,933",,75,9,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
361 DEGREES INTERNATIONAL,COMMON STOCK HKD.1,,,,"71,655",,75,10,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
A,COMMON STOCK CNY1.0,,,,"97,491",,75,12,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
3I GROUP PLC,COMMON STOCK GBP.738636,,,,"3,250,420",,75,13,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
3SBIO INC,COMMON STOCK USD.00001,,,,"174,348",,75,14,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
51JOB INC ADR,ADR USD.0001,,,,"283,794",,75,15,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
77 BANK LTD/THE,COMMON STOCK,Common Stock,,,"113,624",,75,16,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
888 HOLDINGS PLC,COMMON STOCK GBP.005,,,,"258,122",,75,17,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
SERVICES,COMMON STOCK CNY1.0,,,,"120,810",,75,19,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
A.G. BARR PLC,COMMON STOCK GBP.04167,,,,"106,882",,75,20,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
A2 MILK CO LTD,COMMON STOCK,Common Stock,,,"587,971",,75,21,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
A2A SPA,COMMON STOCK EUR.52,,,,"514,756",,75,22,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
HOLDINGS IN,COMMON STOCK USD.01,,,,"555,584",,75,24,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
AAK AB,COMMON STOCK,Common Stock,,,"610,141",,75,25,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
AALBERTS NV,COMMON STOCK EUR.25,,,,"1,284,068",,75,26,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
AAREAL BANK AG,COMMON STOCK,Common Stock,,,"332,778",,75,27,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
AB DYNAMICS PLC,COMMON STOCK,Common Stock,,,"59,917",,75,28,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
AB SCIENCE SA,COMMON STOCK EUR.01,,,,"67,511",,75,29,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
ABACUS PROPERTY GROUP,REIT,,,,"199,826",,75,30,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
ABB LTD REG,COMMON STOCK CHF.12,,,,"11,172,519",,75,31,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
ABC ARBITRAGE,COMMON STOCK EUR.016,,,,"52,596",,75,32,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
ABC MART INC,COMMON STOCK,Common Stock,,,"239,770",,75,33,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
