record_num,pre_issuer,post_issuer,pre_description,post_description,pre_asset_type,post_asset_type
1,AMCAP FUND,American Funds,"933,166",AMCAP Fund,,
2,AMERICAN BALANCED FUND,American Funds,"1,628,268",American Balanced Fund,,
3,FUNDAMENTAL INV,American Funds,"848,180",Fundamental Investors Fund,,
15,DFA US SMALL CAP PORTFOLIO,Dimensional Fund Advisors,"824,506",DFA US Small Cap Portfolio,Other,Mutual Fund
18,DODGE + COX BALANCED FUND,Dodge & Cox,"419,414",Balanced Fund,,
21,DODGE + COX INCOME FUND,Dodge & Cox,"6,143,362",Income Fund,,
23,DODGE + COX STOCK FUND,Dodge & Cox,"738,285",Stock Fund,Common Stock,Mutual Fund
24,EUROPACIFIC GROWTH FUND,American Funds,"819,742",EuroPacific Growth Fund,,
31,FIDELITY CONTRAFUND,Fidelity,"19,357,716",Fidelity Contrafund,,
32,,,,1+1 AG,Other,Common Stock
33,,,,29METALS LTD,Other,Common Stock
41,,,,77 BANK LTD/THE,Other,Common Stock
42,,,GBP.005,888 HOLDINGS PLC,Other,Common Stock
43,,,CNY1.0,SERVICES,,
51,,,,AB DYNAMICS PLC,Other,Common Stock
52,,,EUR.01,AB SCIENCE SA,Other,Common Stock
53,,,REIT,ABACUS PROPERTY GROUP,Other,Real Estate
62,,,,ABOUT YOU HOLDING SE,Other,Common Stock
63,,,GBP.1396825,ABRDN PLC,Other,Common Stock
64,,,ZAR2.0,ABSA GROUP LTD,Other,Common Stock
71,,,USD.01,1 800 FLOWERS.COM INC CL A,Other,Common Stock
72,,,,10X GENOMICS INC CLASS A,Other,Common Stock
73,,,USD.001,1LIFE HEALTHCARE INC,Other,Common Stock
81,,,USD.001,8X8 INC,Other,Common Stock
82,,,USD.0001,9 METERS BIOPHARMA INC,Other,Common Stock
83,,,,908 DEVICES INC,Other,Common Stock
91,,,USD.001,ACACIA RESEARCH CORP,Other,Common Stock
93,,,USD.01,ACADIA HEALTHCARE CO INC,Other,Common Stock
95,,,REIT USD.001,ACADIA REALTY TRUST,Other,Common Stock
101,,,USD.005,ACI WORLDWIDE INC,Other,Common Stock
102,,,USD.00001,ACLARIS THERAPEUTICS INC,Other,Common Stock
103,,,USD.01,ACUITY BRANDS INC,Other,Common Stock
111,GOVERNMENT STIF 7 BPS,Government,"4,770,628",STIF 7 BPS,,
112,TSY INFL IX N/B,U.S. Treasury,"70,012,008",Treasury Inflation-Indexed Note/Bond,Other,Government Bond
113,TSY INFL IX N/B,U.S. Treasury,"56,410,400",Treasury Inflation-Indexed Note/Bond,Other,Government Bond
121,TSY INFL IX N/B,U.S. Treasury,"84,483,237",Treasury Inflation-Indexed Note/Bond,Other,Government Bond
122,TSY INFL IX N/B,U.S. Treasury,"73,826,560",Treasury Inflation-Indexed Note/Bond,Other,Government Bond
123,TSY INFL IX N/B,U.S. Treasury,"71,401,230",Treasury Inflation-Indexed Note/Bond,Other,Government Bond
131,TSY INFL IX N/B,U.S. Treasury,"70,958,599",Treasury Inflation-Indexed Note/Bond,Other,Government Bond
132,TSY INFL IX N/B,U.S. Treasury,"46,119,225",Treasury Inflation-Indexed Note/Bond,Other,Government Bond
133,TSY INFL IX N/B,U.S. Treasury,"77,062,711",Treasury Inflation-Indexed Note/Bond,Other,Government Bond
141,TSY INFL IX N/B,U.S. Treasury,"30,981,193",Treasury Inflation-Indexed Note/Bond (TIPS),Other,Government Bond
142,TSY INFL IX N/B,U.S. Treasury,"54,504,222",Treasury Inflation-Indexed Note/Bond (TIPS),Other,Government Bond
