pdf_stem,page_number,row_id,pre_issuer_name,post_issuer_name,pre_investment_description,post_investment_description,pre_asset_type,post_asset_type,pre_current_value,post_current_value,changed
20220708124640NAL0018324257001,70,1,,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,2,,NOT FOUND,Shares/,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,3,,NOT FOUND,Par Value,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,4,AMCAP FUND,American Funds,"933,166",AMCAP Fund,,Mutual Fund,"43,586,441","43,586,441",YES
20220708124640NAL0018324257001,70,5,AMERICAN BALANCED FUND,American Funds,"1,628,268",American Balanced Fund,,Mutual Fund,"54,918,822","54,918,822",YES
20220708124640NAL0018324257001,70,6,AMERICAN FUNDS,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,7,FUNDAMENTAL INV,American Funds,"848,180",Fundamental Investors,,Mutual Fund,"65,095,348","65,095,348",YES
20220708124640NAL0018324257001,70,8,AMERICAN,American Funds,"802,575",American Funds (unspecified),MUTUAL FUND,Mutual Fund,"43,059,298","43,059,298",YES
20220708124640NAL0018324257001,70,9,CAPITAL WORLD BOND FUND,American Funds,"486,054",Capital World Bond Fund,,Corporate Bond,"9,777,473","9,777,473",YES
20220708124640NAL0018324257001,70,10,CAPITAL WORLD GROWTH AND,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,11,INCOM,Other,"470,780",INCOM,,Other,"30,185,583","30,185,583",YES
20220708124640NAL0018324257001,70,12,DFA EMERGING MARKETS,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,13,PORTFOLIO,Other,"865,372",PORTFOLIO,,Other,"27,594,953","27,594,953",YES
20220708124640NAL0018324257001,70,14,DFA EMERGING MARKETS VALUE,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,15,POR,Other,"828,432",POR,,Other,"26,018,937","26,018,937",YES
