pdf_stem,page_number,row_id,raw_issuer,pre_issuer,final_issuer,raw_description,pre_description,final_description,raw_asset_type,pre_asset_type,final_asset_type,raw_value,final_value,issuer_changed,desc_changed,asset_type_changed
20220708124640NAL0018324257001,40,1,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,950587393,,YES,YES,YES
20220708124640NAL0018324257001,40,2,,NOT FOUND,NOT FOUND,(1) Employer securities ...............................................................................,NOT FOUND,NOT FOUND,Employer Stock,NOT FOUND,NOT FOUND,-123456789012345,,YES,YES,YES
20220708124640NAL0018324257001,40,4,,NOT FOUND,NOT FOUND,(2) Employer real property ..........................................................................,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,-123456789012345,,YES,YES,YES
20220708124640NAL0018324257001,40,6,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,,YES,YES,YES
20220708124640NAL0018324257001,40,7,,NOT FOUND,NOT FOUND,1e Buildings and other property used in plan operation ....................................,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,-123456789012345,,YES,YES,YES
20220708124640NAL0018324257001,40,8,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,67554919021,,YES,YES,YES
20220708124640NAL0018324257001,40,9,,NOT FOUND,NOT FOUND,1f Total assets (add all amounts in lines 1a through 1e) ..................................,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,-123456789012345,,YES,YES,YES
20220708124640NAL0018324257001,40,11,,,Unknown,Liabilities 1g Benefit claims payable ................................................................................,Liabilities 1g Benefit claims payable ................................................................................,Liabilities 1g Benefit claims payable ................................................................................,,,Other,-123456789012345,-123456789012345,YES,NO,YES
20220708124640NAL0018324257001,40,14,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,,YES,YES,YES
20220708124640NAL0018324257001,40,15,,NOT FOUND,NOT FOUND,1h Operating payables .....................................................................................,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,-123456789012345,,YES,YES,YES
20220708124640NAL0018324257001,40,16,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,,YES,YES,YES
20220708124640NAL0018324257001,40,17,,NOT FOUND,NOT FOUND,1i Acquisition indebtedness .............................................................................,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,-123456789012345,,YES,YES,YES
20220708124640NAL0018324257001,40,19,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,1657271718,,YES,YES,YES
20220708124640NAL0018324257001,40,20,,NOT FOUND,NOT FOUND,1j Other liabilities .............................................................................................,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,-123456789012345,,YES,YES,YES
20220708124640NAL0018324257001,40,22,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,1657271718,,YES,YES,YES
20220708124640NAL0018324257001,40,23,,NOT FOUND,NOT FOUND,1k Total liabilities (add all amounts in lines 1g through1j) .................................,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,-123456789012345,,YES,YES,YES
20220708124640NAL0018324257001,40,24,,,Unknown,Net Assets,Net Assets,Net Assets,,,Other,65897647303,65897647303,YES,NO,YES
20220708124640NAL0018324257001,40,26,,NOT FOUND,NOT FOUND,1l Net assets (subtract line 1k from line 1f) ......................................................,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,-123456789012345,,YES,YES,YES
20220708124640NAL0018324257001,40,28,,NOT FOUND,NOT FOUND,Part II Income and Expense Statement,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,,YES,YES,YES
20220708124640NAL0018324257001,40,29,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,,YES,YES,YES
20220708124640NAL0018324257001,40,30,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,,YES,YES,YES
20220708124640NAL0018324257001,70,1,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,,YES,YES,YES
20220708124640NAL0018324257001,70,2,,NOT FOUND,NOT FOUND,Shares/,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,,YES,YES,YES
20220708124640NAL0018324257001,70,3,,NOT FOUND,NOT FOUND,Par Value,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,,YES,YES,YES
20220708124640NAL0018324257001,70,4,AMCAP FUND,AMCAP FUND,American Funds,"933,166","933,166","933,166",,,Mutual Fund,"43,586,441","43,586,441",YES,NO,YES
20220708124640NAL0018324257001,70,5,AMERICAN BALANCED FUND,AMERICAN BALANCED FUND,American Funds,"1,628,268","1,628,268","1,628,268",,,Mutual Fund,"54,918,822","54,918,822",YES,NO,YES
20220708124640NAL0018324257001,70,6,AMERICAN FUNDS,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,,YES,YES,YES
20220708124640NAL0018324257001,70,7,FUNDAMENTAL INV,FUNDAMENTAL INV,American Funds,"848,180","848,180","848,180",,,Mutual Fund,"65,095,348","65,095,348",YES,NO,YES
20220708124640NAL0018324257001,70,8,AMERICAN MUTUAL FUND,AMERICAN MUTUAL FUND,American Funds,"802,575","802,575","802,575",Mutual Fund,Mutual Fund,Mutual Fund,"43,059,298","43,059,298",YES,NO,NO
20220708124640NAL0018324257001,70,9,CAPITAL WORLD BOND FUND,CAPITAL WORLD BOND FUND,American Funds,"486,054","486,054","486,054",,,Mutual Fund,"9,777,473","9,777,473",YES,NO,YES
20220708124640NAL0018324257001,70,10,CAPITAL WORLD GROWTH AND,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,,YES,YES,YES
20220708124640NAL0018324257001,70,11,INCOM,INCOM,American Funds,"470,780","470,780","470,780",,,Mutual Fund,"30,185,583","30,185,583",YES,NO,YES
20220708124640NAL0018324257001,70,12,DFA EMERGING MARKETS,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,,YES,YES,YES
20220708124640NAL0018324257001,70,13,PORTFOLIO,PORTFOLIO,American Funds,"865,372","865,372","865,372",,,Mutual Fund,"27,594,953","27,594,953",YES,NO,YES
20220708124640NAL0018324257001,70,14,DFA EMERGING MARKETS VALUE,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,,YES,YES,YES
20220708124640NAL0018324257001,70,15,POR,POR,American Funds,"828,432","828,432","828,432",,,Mutual Fund,"26,018,937","26,018,937",YES,NO,YES
20220708124640NAL0018324257001,70,16,DFA GLOBAL REAL ESTATE,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,,YES,YES,YES
20220708124640NAL0018324257001,70,17,SECURIT,SECURIT,SECURIT,"1,465,161","1,465,161","1,465,161",,,Other,"19,874,493","19,874,493",NO,NO,YES
20220708124640NAL0018324257001,70,18,DFA INTERNATIONAL SMALL,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,,YES,YES,YES
20220708124640NAL0018324257001,70,19,COMPAN,COMPAN,COMPAN,"712,881","712,881","712,881",,,Other,"15,650,643","15,650,643",NO,NO,YES
20220708124640NAL0018324257001,70,20,DFA INTERNATIONAL VALUE,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,,YES,YES,YES
20220708124640NAL0018324257001,70,21,PORTFO,PORTFO,PORTFO,"625,935","625,935","625,935",,,Other,"12,112,897","12,112,897",NO,NO,YES
20220708124640NAL0018324257001,70,22,DFA INTERNATIONAL VECTOR,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,,YES,YES,YES
20220708124640NAL0018324257001,70,23,EQUIT,EQUIT,EQUIT,"542,649","542,649","542,649",,,Other,"7,601,248","7,601,248",NO,NO,YES
20220708124640NAL0018324257001,70,24,DFA LARGE CAP INTERNATIONAL,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,,YES,YES,YES
20220708124640NAL0018324257001,70,25,PO,PO,PO,"564,212","564,212","564,212",,,Other,"15,618,855","15,618,855",NO,NO,YES
20220708124640NAL0018324257001,70,26,DFA US CORE EQUITY 1,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,NOT FOUND,NOT FOUND,,,YES,YES,YES
20220708124640NAL0018324257001,70,27,PORTFOLIO,PORTFOLIO,PORTFOLIO,"1,439,836","1,439,836","1,439,836",,,Other,"52,943,880","52,943,880",NO,NO,YES
