issuer_name,investment_description,asset_type,par_value,cost,current_value,units_or_shares,page_number,row_id,pdf_name,pdf_stem,sponsor_ein,plan_number,plan_year,sponsor,plan_name,maturity
,,,,,,,35,3,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
,,,,,,,35,8,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
,,,,,,,41,3,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
,,,,,,,41,5,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
,,,,,,,41,6,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
,,,,,"Enter the EIN(s) of payor(s) who paid benefits on behalf of the plan to participants or beneficiaries during the year (if more than two, enter EINs of the",,43,4,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
,,,,,"Number of participants (living or deceased) whose benefits were distributed in a single sum, during the plan",,43,8,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
,,,,,X Yes X No X N/A,,43,13,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
,,,,,If a waiver of the minimum funding standard for a prior year is being amortized in this,,43,15,20220708124640NAL0018324257001.pdf,20220708124640NAL0018324257001,,001,2024,,,
,,,,,,,10,7,20250520131349NAL0001242561001.pdf,20250520131349NAL0001242561001,34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,15,6,20250520131349NAL0001242561001.pdf,20250520131349NAL0001242561001,34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,15,8,20250520131349NAL0001242561001.pdf,20250520131349NAL0001242561001,34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,15,18,20250520131349NAL0001242561001.pdf,20250520131349NAL0001242561001,34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,17,2,20250520131349NAL0001242561001.pdf,20250520131349NAL0001242561001,34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,17,3,20250520131349NAL0001242561001.pdf,20250520131349NAL0001242561001,34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,17,4,20250520131349NAL0001242561001.pdf,20250520131349NAL0001242561001,34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,17,6,20250520131349NAL0001242561001.pdf,20250520131349NAL0001242561001,34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,17,8,20250520131349NAL0001242561001.pdf,20250520131349NAL0001242561001,34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,18,11,20250520131349NAL0001242561001.pdf,20250520131349NAL0001242561001,34-0963169,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,242,7,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,247,6,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,247,12,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,249,3,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,250,11,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,1,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,2,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,3,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,4,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,5,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,6,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,7,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,8,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,9,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,10,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,11,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,12,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,13,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,14,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,15,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,16,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,17,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,18,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,19,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,20,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,21,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,22,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,23,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,24,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,25,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,26,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,27,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,28,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,273,29,20250718162013NAL0002163953001.pdf,20250718162013NAL0002163953001,41-6011072,2,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,59,7,20250901141031NAL0013656881001.pdf,20250901141031NAL0013656881001,94-1340523,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,64,6,20250901141031NAL0013656881001.pdf,20250901141031NAL0013656881001,94-1340523,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,5b(1) Name of plan(s),,,,66,2,20250901141031NAL0013656881001.pdf,20250901141031NAL0013656881001,94-1340523,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,66,3,20250901141031NAL0013656881001.pdf,20250901141031NAL0013656881001,94-1340523,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
