sponsor_ein,plan_number,plan_year,sponsor,plan_name,sponsor_plan_key,issuer_name,investment_description,asset_type,morningstar_ticker,par_value,cost,current_value,units_or_shares,page_number,row_id,confidence
,001,2024,,Fidelity401K 5500,,,13D ACTIVIST FUND CLA,Mutual Fund,,,,362,,31,2,
,001,2024,,Fidelity401K 5500,,,13D ACTIVIST FUNDCL I,Mutual Fund,,,,"2,543",,31,3,
,001,2024,,Fidelity401K 5500,,,AB LARGE CAP GROWTHCLASS A,Other,,,,"41,416",,31,4,
,001,2024,,Fidelity401K 5500,,,AB LARGE CAPGROWTH CL C,Other,,,,21,,31,5,
,001,2024,,Fidelity401K 5500,,,AB SMALL CAP GROWTHPORT CLASS A,Other,,,,"5,428",,31,6,
,001,2024,,Fidelity401K 5500,,,ABBEY CAPITAL MULTIASSET FUND CLASS I,Mutual Fund,,,,"5,183",,31,7,
,001,2024,,Fidelity401K 5500,,,ABERDEEN CHINA ASHARE EQ INSTL SVC,Other,,,,"23,881",,31,8,
,001,2024,,Fidelity401K 5500,,,ABERDEEN CHINA ASHARE EQUITY CL A,Other,,,,"30,281",,31,9,
,001,2024,,Fidelity401K 5500,,,ABERDEEN DYNAMICDIVIDEND CL A,Other,,,,"7,579",,31,10,
,001,2024,,Fidelity401K 5500,,,ABERDEEN EMERGINGMARKETS FD INSTL CL,Other,,,,"1,859",,31,11,
,001,2024,,Fidelity401K 5500,,,ABERDEEN EMERGINGMRKTS FD INSTL SV CL,Other,,,,"2,872",,31,12,
,001,2024,,Fidelity401K 5500,,,ABERDEEN GLOBALINFRASTRUCTURE INSTL,Other,,,,"3,540",,31,13,
,001,2024,,Fidelity401K 5500,,,ABERDEEN U.S. SMALLCAP EQUITY FD CL A,Other,,,,"15,908",,31,14,
,001,2024,,Fidelity401K 5500,,,ABERDEEN US SUSTAINLEADERS FUND CL A,Mutual Fund,,,,"1,108",,31,15,
,001,2024,,Fidelity401K 5500,,,ABR DYNAMIC BLEND EQ& VOLATILITY INVST,Other,,,,"10,728",,31,16,
,001,2024,,Fidelity401K 5500,,,ACADIAN EMERGINGMARKETS PORT INVSTR,Other,,,,"11,494",,31,17,
,001,2024,,Fidelity401K 5500,,,ADV PREFERRED GOLDBULLION STRAT INV,Other,,,,"523,317",,31,18,
,001,2024,,Fidelity401K 5500,,,ADVISORS PREFERREDQUANTIFIED STF INVST,Other,,,,"40,850",,31,19,
,001,2024,,Fidelity401K 5500,,,ADVISORS PREFERREDSPECTRUM LOW VOL INV,Other,,,,"2,498",,31,20,
,001,2024,,Fidelity401K 5500,,,AEGIS VALUE FUND INC,Mutual Fund,,,,"46,150",,31,21,
,001,2024,,Fidelity401K 5500,,,AKRE FOCUS FUNDINSTL,Mutual Fund,,,,"401,525",,31,22,
,001,2024,,Fidelity401K 5500,,,AKRE FOCUS FUNDRETAIL,Mutual Fund,,,,"1,113,191",,31,23,
,001,2024,,Fidelity401K 5500,,,ALGER DYNAMICOPPORTUNITIES CL A,Other,,,,275,,31,24,
,001,2024,,Fidelity401K 5500,,,ALGER GROWTH&INCOMECLASS A,Other,,,,642,,31,25,
,001,2024,,Fidelity401K 5500,,,ALGER HEALTHSCIENCES FD CL A,Other,,,,"17,750",,31,26,
,001,2024,,Fidelity401K 5500,,,ALGER RESPONSIBLEINVESTING FUND CL A,Mutual Fund,,,,"14,335",,31,27,
,001,2024,,Fidelity401K 5500,,,ALGER SMALL CAPFOCUS CLASS A,Other,,,,"71,559",,31,28,
,001,2024,,Fidelity401K 5500,,,ALGER SMALL CAPFOCUS CLASS Z,Other,,,,"1,032",,31,29,
,001,2024,,Fidelity401K 5500,,,ALGER SMALL CAPGROWTH CL Z,Other,,,,"67,726",,31,30,
,001,2024,,Fidelity401K 5500,,,ALGER SPECTRA CL Z,Other,,,,"125,736",,31,31,
,001,2024,,Fidelity401K 5500,,,ALLSPRING CORE PLUSBOND FUND A,Corporate Bond,,,,"2,148",,31,32,
,001,2024,,Fidelity401K 5500,,,ALLSPRING CORE PLUSBOND FUND INST,Corporate Bond,,,,"4,086",,31,33,
,001,2024,,Fidelity401K 5500,,,ALLSPRING DIVRSFDCAP BUILDER FD A,Other,,,,"435,525",,31,34,
,001,2024,,Fidelity401K 5500,,,ALLSPRING DIVRSFDINCME BUILD FD A,Other,,,,"1,477",,31,35,
,001,2024,,Fidelity401K 5500,,,ALLSPRING INDEXFUND A,Mutual Fund,,,,"53,982",,31,36,
,001,2024,,Fidelity401K 5500,,,ALLSPRING PRECIOUSMETALS FUND A,Mutual Fund,,,,"823,268",,31,37,
,001,2024,,Fidelity401K 5500,,,ALLSPRING PRECIOUSMETALS FUND INST,Mutual Fund,,,,"68,563",,31,38,
,001,2024,,Fidelity401K 5500,,,ALLSPRING SHORT TERMBOND PLUS FD A,Corporate Bond,,,,"1,191",,31,39,
,001,2024,,Fidelity401K 5500,,,ALLSPRING SHORT TERMHIGH INCOME INSTL,Other,,,,"1,257",,31,40,
,001,2024,,Fidelity401K 5500,,,ALLSPRING SPECIALGLOBAL SMALL CAP C,Other,,,,"1,936",,31,41,
,001,2024,,Fidelity401K 5500,,,ALLSPRING SPECIALMID CAP VLUE FD A,Other,,,,"25,069",,31,42,
,001,2024,,Fidelity401K 5500,,,ALLSPRING SPECTRUMAGRSSIV GRTH FD INST,Other,,,,"1,628",,31,43,
,001,2024,,Fidelity401K 5500,,,ALLSPRING UTILITY &TELECOMMS FUND A,Mutual Fund,,,,"26,849",,31,44,
