ack_id,plan_name_clean,sponsor_name,amt_mutual_funds,staged_total,gap_amt,gap_pct
20260702101103NAL0012282515001,CONSOLIDATED 403(B) PROGRAM OF MASS GENERAL BRIGHAM AND MEMBER ORGANIZATIONS,MASS GENERAL BRIGHAM INCORPORATED,12941558021.00,0.00,12941558021.00,100.00
20260722112541NAL0018475330001,MAYO 403(B) PLAN,MAYO CLINIC,12798940621.00,0.00,12798940621.00,100.00
20251010175027NAL0008070449001,STANFORD CONTRIBUTORY RETIREMENT PLAN,THE BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY,9682393396.00,0.00,9682393396.00,100.00
20251010135251NAL0018754754001,DUKE ENERGY RETIREMENT SAVINGS PLAN,DUKE ENERGY CORPORATION,9569696000.00,0.00,9569696000.00,100.00
20251006141123NAL0003741777001,CVS HEALTH FUTURE FUND 401(K) PLAN,CVS HEALTH CORPORATION,9446229019.00,0.00,9446229019.00,100.00
20260717114259NAL0006085105001,IBM 401(K) PLAN,INTERNATIONAL BUSINESS MACHINES CORPORATION,8699489575.00,0.00,8699489575.00,100.00
20260715102148NAL0001978259001,THE HOME DEPOT FUTUREBUILDER TRUST,"THE HOME DEPOT, INC.",6882845283.00,0.00,6882845283.00,100.00
20251007174512NAL0008660608003,COMCAST CORPORATON EMPLOYEE SAVINGS PLANS MASTER T,COMCAST CORPORATION,5152855131.00,0.00,5152855131.00,100.00
20260724135502NAL0012679475001,MICROSOFT CORPORATION SAVINGS PLUS 401K PLAN,MICROSOFT CORPORATION,4612245002.00,0.00,4612245002.00,100.00
20251014195156NAL0003665937004,EMORY UNIVERSITY RETIREMENT PLAN,EMORY UNIVERSITY DIVISION OF HUMAN RESOURCES,4893140808.00,576600393.11,4316540414.89,88.00
20251014143400NAL0006349954001,"THE DELTA AIR LINES, INC. DEFINED CONTRIBUTION PLA","DELTA AIR LINES, INC",3772388663.00,0.00,3772388663.00,100.00
20250919133721NAL0002366369001,MASSMUTUAL DEFINED CONTRIBUTION PLAN MASTER TRUST,MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,3527238657.00,0.00,3527238657.00,100.00
20251015190301NAL0010875202001,THE UNIVERSITY OF PENNSYLVANIA HEALTH SYSTEM 403(B) RETIREMENT SAVINGS PLAN,TRUSTEES OF THE UNIVERSITY OF PA,3389578138.00,65621073.00,3323957065.00,98.00
20251014114613NAL0001328003001,WAKE FOREST BAPTIST MEDICAL CENTER 403(B) RETIREMENT SAVINGS PLAN,WAKE FOREST UNIVERSITY BAPTIST MEDICAL CENTER,3160533459.00,335924701.00,2824608758.00,89.00
20251013141455NAL0001402353001,MEMORIAL HERMANN HEALTH SYSTEM EMPLOYEES' RETIREMENT SAVINGS PLAN,MEMORIAL HERMANN HEALTH SYSTEM,3100785291.00,477524253.00,2623261038.00,85.00
20251015130854NAL0006186912001,WELLSPAN 403(B) RETIREMENT SAVINGS PLAN,WELLSPAN HEALTH,2494530966.00,0.00,2494530966.00,100.00
20251209141357NAL0003820562001,JUSTWORKS RETIREMENT SAVINGS PLAN,JUSTWORKS EMPLOYMENT GROUP LLC,3614107823.00,1237729022.00,2376378801.00,66.00
20260107152644NAL0008199489001,THE UNIVERSITY OF CHICAGO CONTRIBUTORY RETIREMENT PLAN,THE UNIVERSITY OF CHICAGO,3021181993.00,666936303.00,2354245690.00,78.00
20251015094802NAL0004496641001,INVESTMENT ACCOUNT,SAINT-GOBAIN CORPORATION,2291791017.00,0.00,2291791017.00,100.00
20251015182817NAL0011027730001,MACYS INC. DEFINED CONTRIBUTION PLANS MASTER TRUST,"MACY'S, INC.",2252908000.00,0.00,2252908000.00,100.00
20251015121015NAL0002381763001,JOHNSON AND JOHNSON PENSION AND SAVINGS PLAN MASTER TRUST,JOHNSON AND JOHNSON,2227385856.00,0.00,2227385856.00,100.00
20251015122510NAL0002403219001,JEFFERSON DEFINED CONTRIBUTION RETIREMENT PLAN,THOMAS JEFFERSON UNIVERSITY,2371811436.00,230937196.00,2140874240.00,90.00
20251014172558NAL0001702339001,UNIVERSITY HOSPITALS HEALTH SYSTEM 403(B) MATCHED RETIREMENT SAVINGS PLAN,UNIVERSITY HOSPITALS HEALTH SYSTEM,2378021777.00,250579629.00,2127442148.00,89.00
20251014161612NAL0003380401001,GUNDERSEN LUTHERAN EMPLOYEES' RETIREMENT PLAN,GUNDERSEN LUTHERAN ADMINISTRATIVE SERVICES INC,2101982929.00,0.00,2101982929.00,100.00
20251014155850NAL0001653379001,FEDERAL EXPRESS CORPORATION PILOTS RETIREMENT SAVINGS PLAN,FEDERAL EXPRESS CORPORATION,2031581580.00,4038410.00,2027543170.00,100.00
20251013090403NAL0002149570001,"MASTER TRUST FOR DC PLANS OF AMERICAN AIRLINES, INC. AND AFFILIATES","AMERICAN AIRLINES, INC. - RETIREMENT",2023744079.00,53862.00,2023690217.00,100.00
20251015121322NAL0004812305001,CARNEGIE MELLON UNIVERSITY FACULTY AND STAFF RETIREMENT PLAN,CARNEGIE MELLON UNIVERSITY,2340772588.00,373342210.00,1967430378.00,84.00
20250914082113NAL0000341680001,"FROEDTERT HEALTH, INC. 403(B) PLAN","FROEDTERT THEDACARE HEALTH, INC.",1966990552.00,0.00,1966990552.00,100.00
20260702173740NAL0014956897001,SUN ADVANTAGE SAVINGS AND INVESTMENT PLAN,"SUN LIFE FINANCIAL U.S. SERVICES COMPANY, INC.",1899722898.00,0.00,1899722898.00,100.00
20260513074811NAL0006610787001,THE PROGRESSIVE 401(K) PLAN,THE PROGRESSIVE CORPORATION & ITS PARTICIPATING SUBSIDIARIES,2043916868.00,144544066.00,1899372802.00,93.00
20260724161454NAL0015864273001,"CISCO SYSTEMS,INC. 401(K) PLAN","CISCO SYSTEMS, INC.",1897493982.00,0.00,1897493982.00,100.00
20251009135917NAL0011609856001,BROADCOM U.S. 401(K) PLAN,AVAGO TECHNOLOGIES U.S. INC.,1895742465.00,0.00,1895742465.00,100.00
20251015113153NAL0002330259001,CEDARS-SINAI 403B RETIREMENT PLAN,CEDARS-SINAI MEDICAL CENTER,2234176687.00,344306145.00,1889870542.00,85.00
20251008114247NAL0009333472001,"TOYOTA MOTOR NORTH AMERICA, INC. RETIREMENT SAVINGS PLAN","TOYOTA MOTOR NORTH AMERICA, INC.",2018329458.00,133122055.00,1885207403.00,93.00
20260713094000NAL0002527971001,EMERSON ELECTRIC CO. DEFINED CONTRIBUTION PLANS MASTER TRUST,EMERSON ELECTRIC COMPANY,1711795751.00,0.00,1711795751.00,100.00
20251008155841NAL0006101921001,THE WALT DISNEY COMPANY RETIREMENT PLAN MASTER TRUST,TWDC ENTERPRISES 18 CORP.,1692043384.00,0.00,1692043384.00,100.00
20260713112350NAL0000113041001,"TETRA TECH, INC. AND SUBSIDIARIES RETIREMENT PLAN","TETRA TECH, INC.",1669426619.00,0.00,1669426619.00,100.00
20251014082229NAL0001120627001,EATON SAVINGS TRUST,EATON CORPORATION,1591771779.00,0.00,1591771779.00,100.00
20260622142505NAL0006418033001,BRISTOL-MYERS SQUIBB SAVINGS PLANS MASTER TRUST,BRISTOL-MYERS SQUIBB COMPANY,1588326065.00,0.00,1588326065.00,100.00
20251005195323NAL0003019665001,HOWARD HUGHES MEDICAL INSTITUTE RETIREMENT SAVINGS PLAN,HOWARD HUGHES MEDICAL INSTITUTE,1586011370.00,0.00,1586011370.00,100.00
20260710090002NAL0002656610001,"BROWN & BROWN, INC EMPLOYEE SAVINGS PLAN","BROWN & BROWN, INC.",1547986465.00,0.00,1547986465.00,100.00
20260722132017NAL0012692753001,FRED HUTCHINSON CANCER CENTER RETIREMENT SAVINGS PLAN,FRED HUTCHINSON CANCER CENTER,1530258093.00,0.00,1530258093.00,100.00
20251014171116NAL0004605680001,GE VERNOVA RETIREMENT SAVINGS PLAN,"ROPCOR, INC.",1524563510.00,0.00,1524563510.00,100.00
20251014222129NAL0001838435001,UNIVERSITY OF SOUTHERN CALIFORNIA TAX-DEFERRED ANNUITY PLAN,UNIVERSITY OF SOUTHERN CALIFORNIA,4039140640.00,2538666263.00,1500474377.00,37.00
20250930082946NAL0011438529001,THE CONSOLIDATED EDISON THRIFT SAVINGS PLAN,"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",1484429237.00,0.00,1484429237.00,100.00
20251015151614NAL0004962433001,PRISMA HEALTH RETIREMENT SAVINGS PLAN,PRISMA HEALTH,1889265357.00,418269838.00,1470995519.00,78.00
20251013102609NAL0001106817004,CHUBB US 401(K) PLAN,CHUBB INA HOLDINGS INC. (FORMERLY ACE INA HOLDINGS INC.),1477658783.00,13076722.00,1464582061.00,99.00
20260212120027NAL0000104978001,"MEDTRONIC, INC. MASTER TRUST FUND","MEDTRONIC, INC.",1420803455.00,0.00,1420803455.00,100.00
20260714103132NAL0001880882001,ALIGHT SOLUTIONS LLC 401(K) PLAN (FKA HEWITT ASSOCIATES LLC 401K PLAN),ALIGHT SOLUTIONS LLC,1411658240.00,0.00,1411658240.00,100.00
20251015121024NAL0002265923001,JOHNSON AND JOHNSON SAVINGS PLAN TRUST,JOHNSON AND JOHNSON,1407259857.00,0.00,1407259857.00,100.00
20260630082519NAL0011111075001,T. ROWE PRICE U.S. RETIREMENT PROGRAM,"T. ROWE PRICE GROUP, INC.",1401963048.00,0.00,1401963048.00,100.00
20251007064524NAL0010856370001,ADVOCATE AURORA HEALTH 401(K) PLAN,"ADVOCATE AURORA HEALTH, INC",1316458216.00,0.00,1316458216.00,100.00
20260701145640NAL0013790801001,FRANKLIN TEMPLETON 401(K) RETIREMENT PLAN,"FRANKLIN RESOURCES, INC.",1299144634.00,0.00,1299144634.00,100.00
20251015112156NAL0002318419001,HAWAI'I PACIFIC HEALTH 403(B) SAVINGS PLAN,HAWAII PACIFIC HEALTH,1327387415.00,30944261.00,1296443154.00,98.00
20251015142629NAL0004829057001,BLUE CROSS BLUE SHIELD OF MICHIGAN 401(K) MASTER TRUST,BLUE CROSS BLUE SHIELD OF MICHIGAN,1287704098.00,0.00,1287704098.00,100.00
20251013080941NAL0002023634001,FACTORY MUTUAL INSURANCE COMPANY 401(K) SAVINGS PLAN,FACTORY MUTUAL INSURANCE COMPANY,1294226918.00,23672461.00,1270554457.00,98.00
20251009103902NAL0003502899001,HORIZON BLUE CROSS BLUE SHIELD OF NEW JERSEY EMPLOYEES SAVINGS AND INVESTMENT PLAN,"HORIZON HEALTHCARE SERVICES, INC.",1439459004.00,182763718.00,1256695286.00,87.00
20251015161711NAL0005099105001,NORTHWELL HEALTH 403(B) PLAN,"NORTHWELL HEALTH, INC.",9443648267.00,8206728333.00,1236919934.00,13.00
20260629154023NAL0015046928001,DEPAUL UNIVERSITY 403(B) RETIREMENT PLAN,DEPAUL UNIVERSITY,1225057947.00,0.00,1225057947.00,100.00
20251014104133NAL0005514674001,KENVUE SAVINGS PLANS MASTER TRUST,KENVUE INC.,1217328784.00,0.00,1217328784.00,100.00
20260702101911NAL0012289971003,NORTHERN LIGHT HEALTH RETIREMENT PARTNERSHIP 403(B) PLAN,EASTERN MAINE HEALTHCARE SYSTEMS D/B/A NORTHERN LIGHT HEALTH,1206170937.00,0.00,1206170937.00,100.00
20260326123954NAL0007553106001,BROWN HEALTH 401(K) RETIREMENT SAVINGS PLAN,LIFESPAN CORPORATION,1206089704.00,0.00,1206089704.00,100.00
20251015150753NAL0009946722001,REYES HOLDINGS RETIREMENT PLAN,"REYES HOLDINGS, LLC",1695574542.00,490473003.00,1205101539.00,71.00
20260107152947NAL0009140480001,THE UNIVERSITY OF CHICAGO SUPPLEMENTAL RETIREMENT PLAN,THE UNIVERSITY OF CHICAGO,1574882081.00,376222572.00,1198659509.00,76.00
20250904094556NAL0009960387001,"NEW YORK UNIVERSITY RETIREMENT PLAN FOR MEMBERS OF THE FACULTY, PROFESSIONAL RESEARCH STAFF AND ADMINISTRATION",NEW YORK UNIVERSITY,4365335299.00,3187360094.00,1177975205.00,27.00
20251112093233NAL0000005457001,JOHNS HOPKINS HEALTH SYSTEM CORPORATION 403(B) PLAN,JOHNS HOPKINS HEALTH SYSTEM CORPORATION,1158761046.00,0.00,1158761046.00,100.00
20251015102447NAL0002237763001,SYRACUSE UNIVERSITY NONCONTRIBUTORY RETIREMENT PLAN,SYRACUSE UNIVERSITY,1147853336.00,0.00,1147853336.00,100.00
20260708190658NAL0016585779001,VALERO ENERGY CORPORATION THRIFT PLAN,VALERO ENERGY CORPORATION,1142820062.00,0.00,1142820062.00,100.00
20250923164353NAL0002676707001,"CENTURYLINK, INC. DEFINED CONTRIBUTION PLAN MASTER","LUMEN TECHNOLOGIES, INC.",1141874062.00,0.00,1141874062.00,100.00
20260722134854NAL0018105586001,MASSACHUSETTS INSTITUTE OF TECHNOLOGY SUPPLEMENTAL 401(K) PLAN,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1136210196.00,0.00,1136210196.00,100.00
20250717153557NAL0000980354001,CITADEL RETIREMENT SAVINGS PLAN,CITADEL ENTERPRISE AMERICAS LLC,1124188171.00,2025.00,1124186146.00,100.00
20260713124807NAL0000234064001,"RAYMOND JAMES FINANCIAL, INC. & AFFILIATES PROFIT SHARING PLAN","RAYMOND JAMES FINANCIAL, INC.",1120593130.00,0.00,1120593130.00,100.00
20251015124623NAL0004579633001,VILLAGEMD 401(K) RETIREMENT SAVINGS PLAN,"VILLAGE PRACTICE MANAGEMENT COMPANY, LLC",1350180375.00,233711173.00,1116469202.00,83.00
20250924185938NAL0007032193001,KAISER PERMANENTE TAX SHELTERED ANNUITY PLAN,"KAISER FOUNDATION HEALTH PLAN, INC.",1097966181.00,0.00,1097966181.00,100.00
20250926150056NAL0004064531001,"LYONDELL CHEMICAL COMPANY, EQUISTAR CHEMICALS LP, AND HOUSTON REFINING, LP MASTER TRUST","LYONDELL CHEMICAL CO, EQUISTAR CHEMICALS LP, & HOUSTON REFINING LP",1097631882.00,0.00,1097631882.00,100.00
20250926131507NAL0010895024001,WOODWARD RETIREMENT SAVINGS PLAN,"WOODWARD, INC.",1097148096.00,0.00,1097148096.00,100.00
20251013135637NAL0000680483001,PUBLIC SERVICE ENTERPRISE GROUP INC. MASTER DEFINED CONTRIBUTION RETIREMENT TRUST,PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED,1095435700.00,0.00,1095435700.00,100.00
20260724151826NAL0015789057001,BAPTIST HEALTH RETIREMENT SAVINGS PLAN MASTER TRUST,BAPTIST HEALTH,1081087934.00,0.00,1081087934.00,100.00
20260717130226NAL0004578275001,MOHAWK INDUSTRIES RETIREMENT PLAN 1 MASTER TRUST AND MOHAWK INDUSTRIES RETIREMENT PLAN 2 MASTER TRUST,"MOHAWK CARPET, LLC",1080219770.00,0.00,1080219770.00,100.00
20251013104203NAL0002466066001,TOWER HEALTH 403(B) PLAN,TOWER HEALTH,1075038136.00,0.00,1075038136.00,100.00
20260707121703NAL0019551681001,JEFFERIES EMPLOYEES' PROFIT SHARING PLAN,JEFFERIES FINANCIAL GROUP INC.,1070887910.00,0.00,1070887910.00,100.00
20251010094830NAL0007889745001,QUAD/GRAPHICS MASTER TRUST,"QUAD/GRAPHICS, INC.",1062618006.00,0.00,1062618006.00,100.00
20260723141510NAL0020196210001,"PMG SERVICES, INC. THRIFT AND PROFIT SHARING PLAN","PMG SERVICES, INC.",1061048145.00,0.00,1061048145.00,100.00
20260414113553NAL0015839569001,PWC DEFINED CONTRIBUTION INVESTMENT TRUST,PWC US GROUP LLP,1050564978.00,0.00,1050564978.00,100.00
20250930092302NAL0005410659001,SOUTHWEST RESEARCH INSTITUTE RETIREMENT PLAN,SOUTHWEST RESEARCH INSTITUTE,1246743370.00,200581791.00,1046161579.00,84.00
20251010133036NAL0013201360001,BOSTON MEDICAL CENTER 403(B) RETIREMENT PLAN,BOSTON MEDICAL CENTER,1453021586.00,415626597.00,1037394989.00,71.00
20250814105617NAL0005370979001,WALMART 401(K) PLAN,WALMART INC.,1032322277.00,0.00,1032322277.00,100.00
20250909173448NAL0020456369001,NFL PLAYER ANNUITY PROGRAM,ANNUITY BOARD OF THE NFL PLAYER ANNUITY PROGRAM,1018292830.00,0.00,1018292830.00,100.00
20260615123345NAL0000011248001,STIFEL FINANCIAL PROFIT SHARING 401(K) PLAN,STIFEL FINANCIAL CORP.,1013364509.00,975079.00,1012389430.00,100.00
20260716122923NAL0003140691001,RBC- U.S.A. RETIREMENT AND SAVINGS PLAN,RBC USA HOLDCO CORPORATION,1008513531.00,0.00,1008513531.00,100.00
20251010152514NAL0007944897001,MOTION PICTURE INDUSTRY INDIVIDUAL ACCOUNT PLAN,"BOARD OF DIRECTORS, MOTION PICTURE INDUSTRY PENSION",1000103819.00,0.00,1000103819.00,100.00
20251013145746NAL0000745891001,THE GI ALLIANCE MANAGEMENT 401K SAVINGS PLAN,"GI ALLIANCE MANAGEMENT, LLC",999294969.00,0.00,999294969.00,100.00
20260721073713NAL0013659120001,OLD DOMINION 401(K) RETIREMENT PLAN,"OLD DOMINION FREIGHT LINE, INC.",993389388.00,0.00,993389388.00,100.00
20260625145251NAL0007511923001,THE FIDELITY NATIONAL FINANCIAL GROUP 401(K) PROFIT SHARING PLAN,"FIDELITY NATIONAL FINANCIAL, INC.",993059729.00,0.00,993059729.00,100.00
20250623132312NAL0003563811002,LEE HEALTH SYSTEM 403(B) RETIREMENT PLAN,"LEE HEALTH SYSTEM, INC. D/B/A LEE HEALTH",1127268971.00,137752780.00,989516191.00,88.00
20251219165910NAL0003387523001,GE HEALTHCARE PENSION MASTER TRUST,GE HEALTHCARE TECHNOLOGIES INC.,988161898.00,0.00,988161898.00,100.00
20251008115111NAL0002973139001,THE CARGILL PARTNERSHIP PLAN,"CARGILL, INCORPORATED",954194702.00,0.00,954194702.00,100.00
20251014183518NAL0007135490001,LVMH AFFILIATES' 401(K) PLAN,"LVMH MOET HENNESSY LOUIS VUITTON, INC.",1079452435.00,126680426.00,952772009.00,88.00
20251010154210NAL0018416834001,CHILDREN'S HOSPITAL AND HEALTH SYSTEM SHARED RETIREMENT SAVINGS PLAN,"CHILDREN'S HOSPITAL AND HEALTH SYSTEM, INC.",937042279.00,0.00,937042279.00,100.00
20260716151819NAL0005896864001,"SAVINGS PLUS PLAN, LAM RESEARCH 401(K)",LAM RESEARCH CORPORATION,925338719.00,0.00,925338719.00,100.00
20251012112733NAL0000092819001,SAINT LUKE'S 403(B) PLAN,SAINT LUKE'S HEALTH SYSTEM,919158882.00,0.00,919158882.00,100.00
20251006164519NAL0006985280001,"MARSH & MCLENNAN COMPANIES, INC. MASTER RETIREMENT SAVINGS TRUST","MARSH & MCLENNAN COMPANIES, INC.",915751537.00,0.00,915751537.00,100.00
20250922150650NAL0002203571001,SECTION 403(B) DEFINED CONTRIBUTION PLAN FOR TAX-EXEMPT COLLEGES AND UNIVERSITIES IN VIRGINIA,THE GOVERNING COMMITTEE OF THE SECTION 403(B) DEFINED CONTRIBUTION,944964649.00,36018350.00,908946299.00,96.00
20251001123631NAL0013215265001,ARCONIC CORP. 401(K) PLANS MASTER TRUST,ARCONIC CORPORATION,907105485.00,0.00,907105485.00,100.00
20251012205824NAL0000517729001,HENRY FORD HEALTH SYSTEM HERITAGE 403(B) PLAN,HENRY FORD HEALTH SYSTEM,1388974081.00,497532943.00,891441138.00,64.00
20250919104203NAL0002173521001,MOLSON COORS EMPLOYEES' RETIREMENT AND SAVINGS PLAN,MOLSON COORS BEVERAGE COMPANY USA LLC,884019557.00,884019.00,883135538.00,100.00
20251008130018NAL0005876449001,BROWN UNIVERSITY DEFINED CONTRIBUTION LEGACY RETIREMENT PLAN,BROWN UNIVERSITY,1002976594.00,121806101.00,881170493.00,88.00
20251015090950NAL0002064595001,"ZF NORTH AMERICA, INC. 401(K) SAVINGS PLAN","ZF NORTH AMERICA, INC.",866218062.00,0.00,866218062.00,100.00
20251007173250NAL0005126097001,"PARKVIEW HEALTH SYSTEM, INC. 403(B) PLAN","PARKVIEW HEALTH SYSTEM, INC.",851526920.00,0.00,851526920.00,100.00
